id,title,published_date,address,category,meters,floor,rooms,price
22340514,"DE HAUT STANDING, AU BORD DU LAC",2019-09-18,1110 Morges,Penthouse,216,Floor 3,7.5,5200.0
22326375,CONTEMPORAIN ET LUMINEUX,2019-09-18,1110 Morges,Apartment,105,Floor 2,4.5,2950.0
22181493,La Côte : Café Restaurant Tea-room à vendre,2019-09-14,1110 Morges,Commercial property,,,,3200.0
22022656,Appartement 4.5 pièces à Morges,2019-10-02,Avenue Jules-Muret 4A | 1110 Morges,Apartment,95,,4.5,2890.0
22044017,Appartement de 4.5 pièces au 4ème étage,2019-09-13,Ch. du Risoux 2 | 1110 MORGES,Apartment,101,Floor 4,4.5,2470.0
21747685,Magnifiques et lumineux bureaux avec cachet dans propriété de maîtr...,2019-09-12,Av. des Pâquis 25 | 1110 Morges,1 room,,,,1800.0
22003947,Superbe attique de 4 pièces pieds dans l'eau,2019-09-11,Route de Lausanne 54 C | 1110 Morges,Apartment,150,Floor 4,4.0,3950.0
21991581,"Appartement de 2,5 pièces",2019-09-10,Chemin du Banc-Vert 5 | 1110 Morges,Apartment,58,,2.5,1950.0
21990821,Appartement de 3.5 pièces au6ème étage,2019-09-10,Chemin de la Brume 6 | 1110 MORGES,Apartment,68,Floor 6,3.5,1700.0
21989482,"LAUSANNE 54 A, Duplex",2019-09-09,Rue de Lausanne 54 A | 1110 Morges,Apartment,152,Floor 4,5.0,5500.0
21977646,A LOUER 3.5 PCES DUPLEX EN ATTIQUE,2019-09-06,Rue Traversière 2 | 1110 Morges,Maisonette,110,Floor 4,3.5,2800.0
21975341,Appartement de 4.5 pièces proche de la Gare,2019-09-06,Chemin Pré-Val 7 | 1110 MORGES,Apartment,138,Floor 2,4.5,3450.0
21969774,Appartement de 3.5 pièces au 3ème étage,2019-09-06,Chemin du Couchant 1 | 1110 MORGES,Apartment,71,Floor 3,3.5,1670.0
21969080,Morges : Adorable Créperie à remettre,2019-09-05,1110 Morges,Commercial property,,,,3000.0
21969077,La Côte : Sushi-Bar à créer,2019-09-05,1110 Morges,Commercial property,,,,3000.0
21961963,Appartement de 3.5 pièces au 4ème étage,2019-09-05,Avenue de Lonay 27 | 1110 MORGES,Apartment,80,Floor 4,3.5,1850.0
21957470,Appartement de 3.5 pièces au 1er étage,2019-09-05,Chemin de la Brume 6 | 1110 MORGES,Apartment,65,Floor 1,3.5,1720.0
22356947,Gland : Arcade pour Restaurant ou Tea-room,2019-09-04,1110 Morges,Commercial property,,,,3800.0
21939949,"Superbe appartement de 4,5 pièces à Morges",2019-09-03,Avenue de Plan 5A | 1110 Morges,Apartment,,Floor 2,4.5,2550.0
21960498,Local commercial au coeur de Morges,2019-09-02,Rue Louis-de-Savoie 76 | 1110 Morges,Commercial property,70,,,4403.0
21886883,"Magnifique et lumineux 4,5 pièces à louer à Morges",2019-08-23,Rue des Vignerons 15b | 1110 Morges,Apartment,105,,4.5,3150.0
21866752,Superbe duplex avec vue imprenable,2019-08-21,Rue de Lausanne 10 | 1110 Morges,Maisonette,215,Floor 3,7.5,5500.0
